"用户ID","特征","清洁效率","耗材","对比","时间"
"001","87㎡；公寓；情侣；瓷砖","覆盖率:88%；日均清扫:47㎡；沿边清扫轻微漏扫","滤网寿命:剩余49天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至3030Pa","2025-02"
"002","97㎡；三居；1猫；长毛地毯","覆盖率:94%；日均清扫:52㎡；沿边清扫偶发漏扫","滤网寿命:剩余56天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；清洁效率优于70%小型用户","2025-03"
"003","107㎡；平层；2狗；混合地面","覆盖率:85%；日均清扫:57㎡；沿边清扫轻微漏扫","滤网寿命:剩余63天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周2次","2025-04"
"004","56㎡；合租；三口之家；瓷砖","覆盖率:91%；日均清扫:62㎡；沿边清扫偶发漏扫","滤网寿命:剩余70天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类42%","2025-05"
"005","66㎡；公寓；2猫；长毛地毯","覆盖率:82%；日均清扫:25㎡；沿边清扫轻微漏扫","滤网寿命:剩余77天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:15次/月","2025-06"
"006","76㎡；两居；独居；混合地面","覆盖率:88%；日均清扫:30㎡；沿边清扫偶发漏扫","滤网寿命:剩余84天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；建议升级吸力至1730Pa","2025-07"
"007","86㎡；复式；合租；瓷砖","覆盖率:94%；日均清扫:35㎡；沿边清扫轻微漏扫","滤网寿命:剩余91天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于90%小型用户","2025-08"
"008","96㎡；小户型；1狗；长毛地毯","覆盖率:85%；日均清扫:40㎡；沿边清扫偶发漏扫","滤网寿命:剩余98天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周2次","2025-09"
"009","106㎡；公寓；情侣；混合地面","覆盖率:91%；日均清扫:45㎡；沿边清扫轻微漏扫","滤网寿命:剩余105天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类39%","2025-10"
"001","89㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:41㎡；沿边清扫稳定","滤网寿命:剩余103天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类35%","2025-11"
"002","99㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:46㎡；沿边清扫无死角","滤网寿命:剩余110天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；地毯增压使用:18次/月","2025-12"
"003","109㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:51㎡；沿边清扫稳定","滤网寿命:剩余22天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2060Pa","2025-02"
"004","58㎡；合租；1猫；短毛地毯","覆盖率:91%；日均清扫:56㎡；沿边清扫无死角","滤网寿命:剩余29天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；清洁效率优于72%小型用户","2025-03"
"005","68㎡；公寓；2狗；木地板","覆盖率:82%；日均清扫:61㎡；沿边清扫稳定","滤网寿命:剩余36天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周5次","2025-04"
"006","78㎡；两居；三口之家；复合地板","覆盖率:88%；日均清扫:24㎡；沿边清扫无死角","滤网寿命:剩余43天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类32%","2025-05"
"007","88㎡；复式；2猫；短毛地毯","覆盖率:94%；日均清扫:29㎡；沿边清扫稳定","滤网寿命:剩余50天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:8次/月","2025-06"
"008","98㎡；小户型；独居；木地板","覆盖率:85%；日均清扫:34㎡；沿边清扫无死角","滤网寿命:剩余57天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；建议升级吸力至2560Pa","2025-07"
"009","108㎡；公寓；合租；复合地板","覆盖率:91%；日均清扫:39㎡；沿边清扫稳定","滤网寿命:剩余64天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；清洁效率优于92%小型用户","2025-08"
"001","91㎡；公寓；2猫；瓷砖","覆盖率:88%；日均清扫:35㎡；沿边清扫偶发漏扫","滤网寿命:剩余62天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；清洁效率优于87%小型用户","2025-09"
"002","101㎡；三居；独居；长毛地毯","覆盖率:94%；日均清扫:40㎡；沿边清扫轻微漏扫","滤网寿命:剩余69天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；建议增加分区清扫频次至每周3次","2025-10"
"003","111㎡；平层；合租；混合地面","覆盖率:85%；日均清扫:45㎡；沿边清扫偶发漏扫","滤网寿命:剩余76天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类25%","2025-11"
"004","60㎡；合租；1狗；瓷砖","覆盖率:91%；日均清扫:50㎡；沿边清扫轻微漏扫","滤网寿命:剩余83天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；地毯增压使用:11次/月","2025-12"
"005","70㎡；公寓；情侣；长毛地毯","覆盖率:82%；日均清扫:55㎡；沿边清扫偶发漏扫","滤网寿命:剩余90天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2890Pa","2025-02"
"006","80㎡；两居；1猫；混合地面","覆盖率:88%；日均清扫:60㎡；沿边清扫轻微漏扫","滤网寿命:剩余97天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；清洁效率优于74%小型用户","2025-03"
"007","90㎡；复式；2狗；瓷砖","覆盖率:94%；日均清扫:65㎡；沿边清扫偶发漏扫","滤网寿命:剩余104天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周3次","2025-04"
"008","100㎡；小户型；三口之家；长毛地毯","覆盖率:85%；日均清扫:28㎡；沿边清扫轻微漏扫","滤网寿命:剩余111天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类22%","2025-05"
"009","110㎡；公寓；2猫；混合地面","覆盖率:91%；日均清扫:33㎡；沿边清扫偶发漏扫","滤网寿命:剩余23天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；地毯增压使用:21次/月","2025-06"
"001","93㎡；公寓；2狗；短毛地毯","覆盖率:88%；日均清扫:29㎡；沿边清扫无死角","滤网寿命:剩余21天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；地毯增压使用:14次/月","2025-07"
"002","103㎡；三居；三口之家；木地板","覆盖率:94%；日均清扫:34㎡；沿边清扫稳定","滤网寿命:剩余28天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；建议升级吸力至1420Pa","2025-08"
"003","113㎡；平层；2猫；复合地板","覆盖率:85%；日均清扫:39㎡；沿边清扫无死角","滤网寿命:剩余35天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；清洁效率优于89%小型用户","2025-09"
"004","62㎡；合租；独居；短毛地毯","覆盖率:91%；日均清扫:44㎡；沿边清扫稳定","滤网寿命:剩余42天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；建议增加分区清扫频次至每周6次","2025-10"
"005","72㎡；公寓；合租；木地板","覆盖率:82%；日均清扫:49㎡；沿边清扫无死角","滤网寿命:剩余49天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类43%","2025-11"
"006","82㎡；两居；1狗；复合地板","覆盖率:88%；日均清扫:54㎡；沿边清扫稳定","滤网寿命:剩余56天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；地毯增压使用:24次/月","2025-12"
"007","92㎡；复式；情侣；短毛地毯","覆盖率:94%；日均清扫:59㎡；沿边清扫无死角","滤网寿命:剩余63天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至1920Pa","2025-02"
"008","102㎡；小户型；1猫；木地板","覆盖率:85%；日均清扫:64㎡；沿边清扫稳定","滤网寿命:剩余70天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；清洁效率优于76%小型用户","2025-03"
"009","112㎡；公寓；2狗；复合地板","覆盖率:91%；日均清扫:27㎡；沿边清扫无死角","滤网寿命:剩余77天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周6次","2025-04"
"001","95㎡；公寓；情侣；瓷砖","覆盖率:88%；日均清扫:65㎡；沿边清扫轻微漏扫","滤网寿命:剩余75天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周4次","2025-05"
"002","105㎡；三居；1猫；长毛地毯","覆盖率:94%；日均清扫:28㎡；沿边清扫偶发漏扫","滤网寿命:剩余82天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；拖地功能使用率低于同类36%","2025-06"
"003","115㎡；平层；2狗；混合地面","覆盖率:85%；日均清扫:33㎡；沿边清扫轻微漏扫","滤网寿命:剩余89天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；地毯增压使用:7次/月","2025-07"
"004","64㎡；合租；三口之家；瓷砖","覆盖率:91%；日均清扫:38㎡；沿边清扫偶发漏扫","滤网寿命:剩余96天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；建议升级吸力至2250Pa","2025-08"
"005","74㎡；公寓；2猫；长毛地毯","覆盖率:82%；日均清扫:43㎡；沿边清扫轻微漏扫","滤网寿命:剩余103天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；清洁效率优于91%小型用户","2025-09"
"006","84㎡；两居；独居；混合地面","覆盖率:88%；日均清扫:48㎡；沿边清扫偶发漏扫","滤网寿命:剩余110天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；建议增加分区清扫频次至每周4次","2025-10"
"007","94㎡；复式；合租；瓷砖","覆盖率:94%；日均清扫:53㎡；沿边清扫轻微漏扫","滤网寿命:剩余22天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类33%","2025-11"
"008","104㎡；小户型；1狗；长毛地毯","覆盖率:85%；日均清扫:58㎡；沿边清扫偶发漏扫","滤网寿命:剩余29天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；地毯增压使用:17次/月","2025-12"
"009","114㎡；公寓；情侣；混合地面","覆盖率:91%；日均清扫:63㎡；沿边清扫轻微漏扫","滤网寿命:剩余36天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2750Pa","2025-02"
"001","97㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:59㎡；沿边清扫稳定","滤网寿命:剩余34天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；建议升级吸力至2580Pa","2025-03"
"002","107㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:64㎡；沿边清扫无死角","滤网寿命:剩余41天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；清洁效率优于73%小型用户","2025-04"
"003","56㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:27㎡；沿边清扫稳定","滤网寿命:剩余48天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周2次","2025-05"
"004","66㎡；合租；1猫；短毛地毯","覆盖率:91%；日均清扫:32㎡；沿边清扫无死角","滤网寿命:剩余55天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；拖地功能使用率低于同类26%","2025-06"
"005","76㎡；公寓；2狗；木地板","覆盖率:82%；日均清扫:37㎡；沿边清扫稳定","滤网寿命:剩余62天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；地毯增压使用:20次/月","2025-07"
"006","86㎡；两居；三口之家；复合地板","覆盖率:88%；日均清扫:42㎡；沿边清扫无死角","滤网寿命:剩余69天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；建议升级吸力至3080Pa","2025-08"
"007","96㎡；复式；2猫；短毛地毯","覆盖率:94%；日均清扫:47㎡；沿边清扫稳定","滤网寿命:剩余76天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；清洁效率优于93%小型用户","2025-09"
"008","106㎡；小户型；独居；木地板","覆盖率:85%；日均清扫:52㎡；沿边清扫无死角","滤网寿命:剩余83天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；建议增加分区清扫频次至每周2次","2025-10"
"009","55㎡；公寓；合租；复合地板","覆盖率:91%；日均清扫:57㎡；沿边清扫稳定","滤网寿命:剩余90天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类23%","2025-11"
"001","99㎡；公寓；2猫；瓷砖","覆盖率:88%；日均清扫:53㎡；沿边清扫偶发漏扫","滤网寿命:剩余88天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类19%","2025-12"
"002","109㎡；三居；独居；长毛地毯","覆盖率:94%；日均清扫:58㎡；沿边清扫轻微漏扫","滤网寿命:剩余95天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；地毯增压使用:23次/月","2025-02"
"003","58㎡；平层；合租；混合地面","覆盖率:85%；日均清扫:63㎡；沿边清扫偶发漏扫","滤网寿命:剩余102天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；建议升级吸力至1610Pa","2025-03"
"004","68㎡；合租；1狗；瓷砖","覆盖率:91%；日均清扫:26㎡；沿边清扫轻微漏扫","滤网寿命:剩余109天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；清洁效率优于75%小型用户","2025-04"
"005","78㎡；公寓；情侣；长毛地毯","覆盖率:82%；日均清扫:31㎡；沿边清扫偶发漏扫","滤网寿命:剩余21天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周5次","2025-05"
"006","88㎡；两居；1猫；混合地面","覆盖率:88%；日均清扫:36㎡；沿边清扫轻微漏扫","滤网寿命:剩余28天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；拖地功能使用率低于同类44%","2025-06"
"007","98㎡；复式；2狗；瓷砖","覆盖率:94%；日均清扫:41㎡；沿边清扫偶发漏扫","滤网寿命:剩余35天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；地毯增压使用:13次/月","2025-07"
"008","108㎡；小户型；三口之家；长毛地毯","覆盖率:85%；日均清扫:46㎡；沿边清扫轻微漏扫","滤网寿命:剩余42天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；建议升级吸力至2110Pa","2025-08"
"009","57㎡；公寓；2猫；混合地面","覆盖率:91%；日均清扫:51㎡；沿边清扫偶发漏扫","滤网寿命:剩余49天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；清洁效率优于62%小型用户","2025-09"
"001","101㎡；公寓；2狗；短毛地毯","覆盖率:88%；日均清扫:47㎡；沿边清扫无死角","滤网寿命:剩余47天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；清洁效率优于90%小型用户","2025-10"
"002","111㎡；三居；三口之家；木地板","覆盖率:94%；日均清扫:52㎡；沿边清扫稳定","滤网寿命:剩余54天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周3次","2025-11"
"003","60㎡；平层；2猫；复合地板","覆盖率:85%；日均清扫:57㎡；沿边清扫无死角","滤网寿命:剩余61天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类37%","2025-12"
"004","70㎡；合租；独居；短毛地毯","覆盖率:91%；日均清扫:62㎡；沿边清扫稳定","滤网寿命:剩余68天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；地毯增压使用:16次/月","2025-02"
"005","80㎡；公寓；合租；木地板","覆盖率:82%；日均清扫:25㎡；沿边清扫无死角","滤网寿命:剩余75天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议升级吸力至2440Pa","2025-03"
"006","90㎡；两居；1狗；复合地板","覆盖率:88%；日均清扫:30㎡；沿边清扫稳定","滤网寿命:剩余82天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；清洁效率优于77%小型用户","2025-04"
"007","100㎡；复式；情侣；短毛地毯","覆盖率:94%；日均清扫:35㎡；沿边清扫无死角","滤网寿命:剩余89天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周3次","2025-05"
"008","110㎡；小户型；1猫；木地板","覆盖率:85%；日均清扫:40㎡；沿边清扫稳定","滤网寿命:剩余96天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；拖地功能使用率低于同类34%","2025-06"
"009","59㎡；公寓；2狗；复合地板","覆盖率:91%；日均清扫:45㎡；沿边清扫无死角","滤网寿命:剩余103天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；地毯增压使用:6次/月","2025-07"
"001","103㎡；公寓；情侣；瓷砖","覆盖率:88%；日均清扫:41㎡；沿边清扫轻微漏扫","滤网寿命:剩余101天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:19次/月","2025-08"
"002","113㎡；三居；1猫；长毛地毯","覆盖率:94%；日均清扫:46㎡；沿边清扫偶发漏扫","滤网寿命:剩余108天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；建议升级吸力至2770Pa","2025-09"
"003","62㎡；平层；2狗；混合地面","覆盖率:85%；日均清扫:51㎡；沿边清扫轻微漏扫","滤网寿命:剩余20天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；清洁效率优于92%小型用户","2025-10"
"004","72㎡；合租；三口之家；瓷砖","覆盖率:91%；日均清扫:56㎡；沿边清扫偶发漏扫","滤网寿命:剩余27天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周6次","2025-11"
"005","82㎡；公寓；2猫；长毛地毯","覆盖率:82%；日均清扫:61㎡；沿边清扫轻微漏扫","滤网寿命:剩余34天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类27%","2025-12"
"006","92㎡；两居；独居；混合地面","覆盖率:88%；日均清扫:24㎡；沿边清扫偶发漏扫","滤网寿命:剩余41天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；地毯增压使用:9次/月","2025-02"
"007","102㎡；复式；合租；瓷砖","覆盖率:94%；日均清扫:29㎡；沿边清扫轻微漏扫","滤网寿命:剩余48天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；建议升级吸力至1470Pa","2025-03"
"008","112㎡；小户型；1狗；长毛地毯","覆盖率:85%；日均清扫:34㎡；沿边清扫偶发漏扫","滤网寿命:剩余55天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；清洁效率优于79%小型用户","2025-04"
"009","61㎡；公寓；情侣；混合地面","覆盖率:91%；日均清扫:39㎡；沿边清扫轻微漏扫","滤网寿命:剩余62天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；建议增加分区清扫频次至每周6次","2025-05"
"001","105㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:35㎡；沿边清扫稳定","滤网寿命:剩余60天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周4次","2025-06"
"002","115㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:40㎡；沿边清扫无死角","滤网寿命:剩余67天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类20%","2025-07"
"003","64㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:45㎡；沿边清扫稳定","滤网寿命:剩余74天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:12次/月","2025-08"
"004","74㎡；合租；1猫；短毛地毯","覆盖率:91%；日均清扫:50㎡；沿边清扫无死角","滤网寿命:剩余81天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；建议升级吸力至1800Pa","2025-09"
"005","84㎡；公寓；2狗；木地板","覆盖率:82%；日均清扫:55㎡；沿边清扫稳定","滤网寿命:剩余88天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于94%小型用户","2025-10"
"006","94㎡；两居；三口之家；复合地板","覆盖率:88%；日均清扫:60㎡；沿边清扫无死角","滤网寿命:剩余95天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周4次","2025-11"
"007","104㎡；复式；2猫；短毛地毯","覆盖率:94%；日均清扫:65㎡；沿边清扫稳定","滤网寿命:剩余102天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类45%","2025-12"
"008","114㎡；小户型；独居；木地板","覆盖率:85%；日均清扫:28㎡；沿边清扫无死角","滤网寿命:剩余109天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；地毯增压使用:22次/月","2025-02"
"009","63㎡；公寓；合租；复合地板","覆盖率:91%；日均清扫:33㎡；沿边清扫稳定","滤网寿命:剩余21天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；建议升级吸力至2300Pa","2025-03"
"001","107㎡；公寓；2猫；瓷砖","覆盖率:88%；日均清扫:29㎡；沿边清扫偶发漏扫","滤网寿命:剩余19天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2130Pa","2025-04"
"002","56㎡；三居；独居；长毛地毯","覆盖率:94%；日均清扫:34㎡；沿边清扫轻微漏扫","滤网寿命:剩余26天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；清洁效率优于76%小型用户","2025-05"
"003","66㎡；平层；合租；混合地面","覆盖率:85%；日均清扫:39㎡；沿边清扫偶发漏扫","滤网寿命:剩余33天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周2次","2025-06"
"004","76㎡；合租；1狗；瓷砖","覆盖率:91%；日均清扫:44㎡；沿边清扫轻微漏扫","滤网寿命:剩余40天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类38%","2025-07"
"005","86㎡；公寓；情侣；长毛地毯","覆盖率:82%；日均清扫:49㎡；沿边清扫偶发漏扫","滤网寿命:剩余47天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:25次/月","2025-08"
"006","96㎡；两居；1猫；混合地面","覆盖率:88%；日均清扫:54㎡；沿边清扫轻微漏扫","滤网寿命:剩余54天；尘盒清理:每4天；边刷磨损:中度","避障失败:0次/周；建议升级吸力至2630Pa","2025-09"
"007","106㎡；复式；2狗；瓷砖","覆盖率:94%；日均清扫:59㎡；沿边清扫偶发漏扫","滤网寿命:剩余61天；尘盒清理:每6天；主刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于63%小型用户","2025-10"
"008","55㎡；小户型；三口之家；长毛地毯","覆盖率:85%；日均清扫:64㎡；沿边清扫轻微漏扫","滤网寿命:剩余68天；尘盒清理:每2天；主刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周2次","2025-11"
"009","65㎡；公寓；2猫；混合地面","覆盖率:91%；日均清扫:27㎡；沿边清扫偶发漏扫","滤网寿命:剩余75天；尘盒清理:每4天；主刷磨损:严重","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类35%","2025-12"
"001","109㎡；公寓；2狗；短毛地毯","覆盖率:88%；日均清扫:65㎡；沿边清扫无死角","滤网寿命:剩余73天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；拖地功能使用率低于同类31%","2025-02"
"002","58㎡；三居；三口之家；木地板","覆盖率:94%；日均清扫:28㎡；沿边清扫稳定","滤网寿命:剩余80天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；地毯增压使用:8次/月","2025-03"
